Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_286,VPWR,li1,137.5400,35.3600,1.799920
FILLER_9_281,VPWR,li1,135.0100,35.3600,1.799920
FILLER_9_278,VPWR,li1,133.8600,35.3600,1.799920
FILLER_9_253,VPWR,li1,123.7400,35.3600,1.799922
FILLER_9_248,VPWR,li1,120.5200,35.3600,1.799923
FILLER_9_233,VPWR,li1,113.3900,35.3600,1.799925
FILLER_9_225,VPWR,li1,110.8600,35.3600,1.799925
FILLER_9_220,VPWR,li1,107.6400,35.3600,1.799926
FILLER_9_208,VPWR,li1,103.9600,35.3600,1.799927
FILLER_9_203,VPWR,li1,99.1300,35.3600,1.799929
FILLER_9_197,VPWR,li1,97.5200,35.3600,1.799930
FILLER_9_193,VPWR,li1,94.9900,35.3600,1.799931
FILLER_9_185,VPWR,li1,92.4600,35.3600,1.799932
FILLER_9_173,VPWR,li1,87.8600,35.3600,1.799935
FILLER_9_165,VPWR,li1,82.1100,35.3600,1.799938
FILLER_9_153,VPWR,li1,78.6600,35.3600,1.799941
FILLER_9_141,VPWR,li1,73.1400,35.3600,1.799945
FILLER_9_138,VPWR,li1,69.4600,35.3600,1.799947
FILLER_9_130,VPWR,li1,67.1600,35.3600,1.799949
FILLER_9_125,VPWR,li1,63.2500,35.3600,1.799951
FILLER_9_113,VPWR,li1,60.2600,35.3600,1.799954
FILLER_9_111,VPWR,li1,56.8100,35.3600,1.799957
FILLER_9_103,VPWR,li1,54.7400,35.3600,1.799958
FILLER_9_91,VPWR,li1,50.1400,35.3600,1.799962
FILLER_9_85,VPWR,li1,45.0800,35.3600,1.799968
FILLER_9_81,VPWR,li1,43.4700,35.3600,1.799970
FILLER_9_69,VPWR,li1,40.0200,35.3600,1.799972
FILLER_9_57,VPWR,li1,34.5000,35.3600,1.799977
FILLER_9_52,VPWR,li1,30.3600,35.3600,1.799981
FILLER_9_47,VPWR,li1,27.3700,35.3600,1.799986
FILLER_9_41,VPWR,li1,25.7600,35.3600,1.799986
FILLER_9_29,VPWR,li1,21.6200,35.3600,1.799990
FILLER_9_25,VPWR,li1,17.7100,35.3600,1.799990
FILLER_9_13,VPWR,li1,14.2600,35.3600,1.799990
FILLER_9_7,VPWR,li1,9.2000,35.3600,1.799990
FILLER_8_287,VPWR,li1,137.7700,35.3600,1.799920
FILLER_8_261,VPWR,li1,126.0400,35.3600,1.799921
FILLER_8_248,VPWR,li1,120.5200,35.3600,1.799923
FILLER_8_230,VPWR,li1,111.7800,35.3600,1.799925
FILLER_8_218,VPWR,li1,108.5600,35.3600,1.799926
FILLER_8_201,VPWR,li1,98.2100,35.3600,1.799930
FILLER_8_197,VPWR,li1,97.0600,35.3600,1.799930
FILLER_8_195,VPWR,li1,95.4500,35.3600,1.799931
FILLER_8_189,VPWR,li1,93.8400,35.3600,1.799932
FILLER_8_166,VPWR,li1,82.5700,35.3600,1.799938
FILLER_8_158,VPWR,li1,80.0400,35.3600,1.799941
FILLER_8_153,VPWR,li1,76.1300,35.3600,1.799942
FILLER_8_141,VPWR,li1,73.1400,35.3600,1.799945
FILLER_8_118,VPWR,li1,61.1800,35.3600,1.799954
FILLER_8_106,VPWR,li1,57.0400,35.3600,1.799957
FILLER_8_89,VPWR,li1,46.6900,35.3600,1.799966
FILLER_8_85,VPWR,li1,45.5400,35.3600,1.799968
FILLER_8_83,VPWR,li1,43.9300,35.3600,1.799970
FILLER_8_77,VPWR,li1,42.3200,35.3600,1.799970
FILLER_8_65,VPWR,li1,38.1800,35.3600,1.799974
FILLER_8_53,VPWR,li1,32.6600,35.3600,1.799979
FILLER_8_41,VPWR,li1,27.1400,35.3600,1.799986
FILLER_8_29,VPWR,li1,21.6200,35.3600,1.799990
FILLER_8_27,VPWR,li1,18.1700,35.3600,1.799990
FILLER_8_15,VPWR,li1,15.1800,35.3600,1.799990
FILLER_8_3,VPWR,li1,9.6600,35.3600,1.799990
FILLER_7_285,VPWR,li1,137.3100,29.9200,1.799934
FILLER_7_263,VPWR,li1,126.7300,29.9200,1.799934
FILLER_7_253,VPWR,li1,122.3600,29.9200,1.799935
FILLER_7_245,VPWR,li1,120.0600,29.9200,1.799936
FILLER_7_233,VPWR,li1,113.3900,29.9200,1.799937
FILLER_7_225,VPWR,li1,110.8600,29.9200,1.799938
FILLER_7_223,VPWR,li1,108.3300,29.9200,1.799939
FILLER_7_215,VPWR,li1,106.2600,29.9200,1.799939
FILLER_7_197,VPWR,li1,96.8300,29.9200,1.799943
FILLER_7_185,VPWR,li1,93.3800,29.9200,1.799944
FILLER_7_180,VPWR,li1,88.7800,29.9200,1.799946
FILLER_7_169,VPWR,li1,83.7200,29.9200,1.799949
FILLER_7_140,VPWR,li1,72.6800,29.9200,1.799955
FILLER_7_121,VPWR,li1,61.8700,29.9200,1.799961
FILLER_7_113,VPWR,li1,59.3400,29.9200,1.799963
FILLER_7_111,VPWR,li1,56.8100,29.9200,1.799965
FILLER_7_103,VPWR,li1,54.7400,29.9200,1.799966
FILLER_7_77,VPWR,li1,41.6300,29.9200,1.799975
FILLER_7_69,VPWR,li1,39.1000,29.9200,1.799978
