Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_281,VPWR,li1,135.4700,35.3600,1.799927
FILLER_9_273,VPWR,li1,131.7900,35.3600,1.799927
FILLER_9_265,VPWR,li1,128.3400,35.3600,1.799927
FILLER_9_248,VPWR,li1,120.5200,35.3600,1.799928
FILLER_9_225,VPWR,li1,110.4000,35.3600,1.799931
FILLER_9_216,VPWR,li1,106.7200,35.3600,1.799931
FILLER_9_209,VPWR,li1,102.3500,35.3600,1.799933
FILLER_9_201,VPWR,li1,99.8200,35.3600,1.799934
FILLER_9_190,VPWR,li1,94.3000,35.3600,1.799936
FILLER_9_178,VPWR,li1,90.1600,35.3600,1.799938
FILLER_9_173,VPWR,li1,85.3300,35.3600,1.799941
FILLER_9_169,VPWR,li1,83.4900,35.3600,1.799942
FILLER_9_167,VPWR,li1,82.5700,35.3600,1.799942
FILLER_9_159,VPWR,li1,80.5000,35.3600,1.799943
FILLER_9_153,VPWR,li1,76.3600,35.3600,1.799945
FILLER_9_141,VPWR,li1,73.1400,35.3600,1.799947
FILLER_9_133,VPWR,li1,67.3900,35.3600,1.799950
FILLER_9_121,VPWR,li1,63.9400,35.3600,1.799953
FILLER_9_113,VPWR,li1,58.4200,35.3600,1.799956
FILLER_9_110,VPWR,li1,56.5800,35.3600,1.799957
FILLER_9_102,VPWR,li1,54.2800,35.3600,1.799959
FILLER_9_97,VPWR,li1,50.3700,35.3600,1.799962
FILLER_9_85,VPWR,li1,47.3800,35.3600,1.799965
FILLER_9_83,VPWR,li1,43.9300,35.3600,1.799969
FILLER_9_76,VPWR,li1,41.1700,35.3600,1.799972
FILLER_9_64,VPWR,li1,37.7200,35.3600,1.799974
FILLER_9_57,VPWR,li1,32.4300,35.3600,1.799979
FILLER_9_53,VPWR,li1,30.5900,35.3600,1.799980
FILLER_9_45,VPWR,li1,28.0600,35.3600,1.799984
FILLER_9_29,VPWR,li1,21.6200,35.3600,1.799990
FILLER_9_26,VPWR,li1,17.9400,35.3600,1.799990
FILLER_9_10,VPWR,li1,12.8800,35.3600,1.799990
FILLER_8_276,VPWR,li1,133.4000,35.3600,1.799927
FILLER_8_264,VPWR,li1,129.7200,35.3600,1.799927
FILLER_8_253,VPWR,li1,123.7400,35.3600,1.799928
FILLER_8_235,VPWR,li1,113.8500,35.3600,1.799930
FILLER_8_231,VPWR,li1,112.0100,35.3600,1.799930
FILLER_8_227,VPWR,li1,110.8600,35.3600,1.799930
FILLER_8_195,VPWR,li1,95.4500,35.3600,1.799936
FILLER_8_191,VPWR,li1,93.6100,35.3600,1.799936
FILLER_8_165,VPWR,li1,81.8800,35.3600,1.799942
FILLER_8_157,VPWR,li1,79.5800,35.3600,1.799943
FILLER_8_153,VPWR,li1,76.1300,35.3600,1.799945
FILLER_8_145,VPWR,li1,74.0600,35.3600,1.799947
FILLER_8_123,VPWR,li1,62.3300,35.3600,1.799953
FILLER_8_115,VPWR,li1,60.2600,35.3600,1.799955
FILLER_8_97,VPWR,li1,50.6000,35.3600,1.799962
FILLER_8_85,VPWR,li1,47.3800,35.3600,1.799965
FILLER_8_81,VPWR,li1,43.4700,35.3600,1.799969
FILLER_8_69,VPWR,li1,40.0200,35.3600,1.799972
FILLER_8_41,VPWR,li1,27.1400,35.3600,1.799984
FILLER_8_29,VPWR,li1,21.6200,35.3600,1.799990
FILLER_8_27,VPWR,li1,18.1700,35.3600,1.799990
FILLER_8_15,VPWR,li1,15.1800,35.3600,1.799990
FILLER_8_3,VPWR,li1,9.6600,35.3600,1.799989
FILLER_7_281,VPWR,li1,135.4700,29.9200,1.799963
FILLER_7_279,VPWR,li1,134.0900,29.9200,1.799963
FILLER_7_275,VPWR,li1,132.9400,29.9200,1.799963
FILLER_7_263,VPWR,li1,129.2600,29.9200,1.799963
FILLER_7_225,VPWR,li1,110.4000,29.9200,1.799965
FILLER_7_222,VPWR,li1,108.1000,29.9200,1.799965
FILLER_7_207,VPWR,li1,101.2000,29.9200,1.799965
FILLER_7_195,VPWR,li1,96.6000,29.9200,1.799967
FILLER_7_183,VPWR,li1,92.4600,29.9200,1.799968
FILLER_7_169,VPWR,li1,83.7200,29.9200,1.799971
FILLER_7_158,VPWR,li1,78.4300,29.9200,1.799973
FILLER_7_154,VPWR,li1,77.2800,29.9200,1.799973
FILLER_7_134,VPWR,li1,67.6200,29.9200,1.799976
FILLER_7_121,VPWR,li1,62.5600,29.9200,1.799978
FILLER_7_113,VPWR,li1,58.1900,29.9200,1.799980
FILLER_7_110,VPWR,li1,56.5800,29.9200,1.799980
FILLER_7_100,VPWR,li1,52.2100,29.9200,1.799981
FILLER_7_77,VPWR,li1,41.4000,29.9200,1.799986
FILLER_7_69,VPWR,li1,39.1000,29.9200,1.799987
FILLER_7_57,VPWR,li1,34.5000,29.9200,1.799988
FILLER_7_39,VPWR,li1,23.6900,29.9200,1.799993
FILLER_7_27,VPWR,li1,20.7000,29.9200,1.799995
FILLER_7_15,VPWR,li1,15.1800,29.9200,1.799995
FILLER_7_3,VPWR,li1,9.6600,29.9200,1.799995
FILLER_6_285,VPWR,li1,137.3100,29.9200,1.799963
FILLER_6_277,VPWR,li1,134.7800,29.9200,1.799963
FILLER_6_265,VPWR,li1,130.1800,29.9200,1.799963
FILLER_6_253,VPWR,li1,124.6600,29.9200,1.799963
FILLER_6_244,VPWR,li1,119.6000,29.9200,1.799963
FILLER_6_231,VPWR,li1,113.6200,29.9200,1.799964
FILLER_6_219,VPWR,li1,109.0200,29.9200,1.799965
FILLER_6_192,VPWR,li1,94.7600,29.9200,1.799967
FILLER_6_180,VPWR,li1,91.0800,29.9200,1.799968
FILLER_6_168,VPWR,li1,85.5600,29.9200,1.799970
FILLER_6_160,VPWR,li1,79.5800,29.9200,1.799972
FILLER_6_152,VPWR,li1,77.2800,29.9200,1.799973
FILLER_6_128,VPWR,li1,67.1600,29.9200,1.799977
FILLER_6_116,VPWR,li1,61.6400,29.9200,1.799979
FILLER_6_106,VPWR,li1,54.5100,29.9200,1.799981
FILLER_6_73,VPWR,li1,39.3300,29.9200,1.799987
FILLER_6_65,VPWR,li1,37.2600,29.9200,1.799987
FILLER_6_53,VPWR,li1,32.6600,29.9200,1.799990
FILLER_6_41,VPWR,li1,27.1400,29.9200,1.799991
FILLER_6_29,VPWR,li1,21.6200,29.9200,1.799995
